Abt,  Franz
Alard,  Jean  Delphin
Anthem,
Arditi,  Luigi
Arne,  Thomas
Artot,  Alexandre
Artsibushev,  Nikolai  Vassilievitch
Auber,  Daniel-François
Bach,  Johann  Sebastian
Bargiel,  Woldemar
Bassani,  Giovanni  Battista
Baumann,  F.
Beach,  Amy
Beethoven,  Ludwig  van
Bellini,  Vincenzo
Bemberg,  Herman
Benedict,  Jules
Bennett,  William  Sterndale
Bergmann,  Carl
Bergner,  Frederick
Beriot,  Charles-Auguste  de
Berlioz,  Hector
Bird,  Arthur
Bizet,  Georges
Boccherini,  Luigi
Bochsa,  Robert  N. C.
Boellmann,  Leon
Bohm,  Carl
Boieldieu,  François-Adrien
Bordese,  Luigi
Borodin,  Alexander
Bossi,  Marco  Enrico
Brahms,  Johannes
Bristow,  George  Frederick
Brockway,  Howard
Bronsart,  Hans  Von
Bruch,  Max
Bruckner,  Anton
Brull,  Ignaz
Bruneau,  Alfred
Bull,  John
Bull,  Ole
Bulow,  Hans  Von
Burgmuller,  Norbert
Burmeister,  Richard
Busoni,  Ferruccio
Caetani,  Roffredo
Catel,  Charles  Simon
Chabrier,  Emmanuel
Chadwick,  George  Whitefield
Chaminade,  Cécile
Charpentier,  Gustave
Chausson,  Ernest
Cherubini,  Luigi
Chopin,  Frédéric
Clapisson,  Antoine  Louis
Converse,  Frederick  S.
Cornelius,  Peter
Corner,  Dr.  David  Gregor
Costa,  Sir  Michael
Cowen,  Sir  Frederic  Hymen
D'Albert,  Eugen
Dachauer,  Louis
Damrosch,  Leopold
Damrosch,  Walter
Dancla,  Jean  Charles
David,  Felicien  Cesar
David,  Ferdinand
Debussy,  Claude
Delibes,  Léo
Delius,  Frederick
Dessauer,  Josef
Dietrich,  Albert  Hermann
Donizetti,  Gaetano
Draeseke,  Felix
Dubois,  Theodore
Dukas,  Paul
Duparc,  Henri
Durante,  Francesco
Dussek,  Jan  Ladislav
Dvorak,  Antonín
Eckert,  Karl
Eisenhofer,  Franz  Xaver
Eisfeld,  Theodore
Elgar,  Sir  Edward
Enesco,  Georges
Erdmannsdorfer,  Max  Von
Ernst,  Heinrich  Wilhelm
Esser,  Heinrich
Evers,  Carl
Farnaby,  Giles
Faure [Fauré],  Gabriel-Urbain
Fesca,  Alexander  (Ernst)
Fiedler,  Max
Field,  John
Fischer,  Adolf
Flegier,  Ange
Flotow,  Friedrich  Von
Franchetti,  Baron  Alberto
Franck,  César
Franz,  Robert
Frey,  M.
Fuchs,  H.
Fuchs,  Robert
Furstenau,  Anton  Bernhard
Gade,  Niels
German,  Edward
Gilson,  Paul
Giordano,  Umberto
Glaassen,  A.
Glazunov,  Alexander
Glinka,  Mikhail
Gluck,  Christoph  Willibald
Gockel,  August
Godard,  Benjamin
Goetz,  Hermann
Goldbeck,  Robert
Goldmark,  Karl
Goltermann,  Georg  Eduard
Gottschalk,  Louis  Moreau
Gounod,  Charles
Gradener [Grädener],  Hermann
Granz,  Norman
Gretry [Grétry],  Andre [André]  Ernest Modeste
Grieg,  Edvard
Grimm,  Julius  Otto
Guilmant,  Alexander
Guiraud,  Ernest
Gumbert,  Friedrich  Adolf
Haase,  Carl  F.W.
Hadley,  Henry  Kimball
Haertel,  A.
Handel,  George  Frideric
Hartmann,
Hausegger,  Siegmund  von
Haydn,  Franz  Joseph
Haynes,  Walter  Battison
Heinefetter,  Wilhelm
Heinemeyer,  Ernst  Wilhelm
Heller,  Stephen [István]
Henschel,  Sir  George
Henselt,  Adolf  Von
Herbert,  Victor
Herold,  Louis  Joseph Ferdinand [Hérold]
Hiller,  Ferdinand
Hofmann,  Josef
Hohnstock,  Carl
Huber,  Hans
Hummel,  Johann
Humperdinck,  Engelbert
Huss,  Henry  Holden
Indy,  Vincent  d'
Jacobi,  Frederick
Jensen,  Adolf
Joachim,  Joseph
Jommelli,  Niccolò
Jongen,  Joseph
Kalkbrenner,  Friedrich [Frédéric]
Kalliwoda,  Johann  W.
Kaun,  Hugo
Kelley,  Edgar  Stillman
Kiel,  Friedrich
Kinkel,  Johanna
Klein,  Bruno  Oscar
Klughardt,  August
Koch,  Friedrich  E.
Kolar,  Victor
Korbray,  Francis  Alexander
Kreisler,  Fritz
Kreutzer,  Conradin
Krug,  Arnold
